1 --> s0WSd25400
Date of simulation:  05/05/2017,10:30:44
Description:  
1 06/12/2013,00:00:00  3.90752351097179E-0001
1 07/12/2013,00:00:00  7.78683385579937E-0001
1 08/12/2013,00:00:00  1.18354231974922E+0000
1 09/12/2013,00:00:00  1.55172413793103E+0000
1 10/12/2013,00:00:00  1.55172413793103E+0000
1 11/12/2013,00:00:00  1.55172413793103E+0000
1 12/12/2013,00:00:00  1.55172413793103E+0000
1 13/12/2013,00:00:00  1.55172413793103E+0000
1 14/12/2013,00:00:00  3.41379310344828E+0000
1 15/12/2013,00:00:00  3.41379310344828E+0000
1 16/12/2013,00:00:00  3.41379310344828E+0000
1 17/12/2013,00:00:00  3.41379310344828E+0000
1 18/12/2013,00:00:00  5.27586206896552E+0000
1 19/12/2013,00:00:00  5.27586206896552E+0000
1 20/12/2013,00:00:00  5.27586206896552E+0000
1 21/12/2013,00:00:00  7.13793103448276E+0000
1 22/12/2013,00:00:00  7.13793103448276E+0000
1 23/12/2013,00:00:00  7.13793103448276E+0000
1 24/12/2013,00:00:00  7.13793103448276E+0000
1 25/12/2013,00:00:00  9.00000000000000E+0000
1 26/12/2013,00:00:00  9.00000000000000E+0000
1 27/12/2013,00:00:00  9.00000000000000E+0000
1 28/12/2013,00:00:00  1.08620689655172E+0001
1 29/12/2013,00:00:00  1.08620689655172E+0001
1 30/12/2013,00:00:00  1.08620689655172E+0001
1 31/12/2013,00:00:00  1.08620689655172E+0001
1 01/01/2014,00:00:00  1.27241379310344E+0001
1 02/01/2014,00:00:00  1.27241379310344E+0001
1 03/01/2014,00:00:00  1.27241379310344E+0001
1 04/01/2014,00:00:00  1.27241379310344E+0001
1 05/01/2014,00:00:00  1.45862068965517E+0001
1 06/01/2014,00:00:00  1.45862068965517E+0001
1 07/01/2014,00:00:00  1.45862068965517E+0001
1 08/01/2014,00:00:00  1.45862068965517E+0001
1 09/01/2014,00:00:00  1.64482758620690E+0001
1 10/01/2014,00:00:00  1.64482758620690E+0001
1 11/01/2014,00:00:00  1.64482758620690E+0001
1 12/01/2014,00:00:00  1.64482758620690E+0001
1 13/01/2014,00:00:00  1.83103448275862E+0001
1 14/01/2014,00:00:00  1.83103448275862E+0001
1 15/01/2014,00:00:00  1.83103448275862E+0001
1 16/01/2014,00:00:00  1.83103448275862E+0001
1 17/01/2014,00:00:00  1.94283566653784E+0001
1 18/01/2014,00:00:00  2.24221375302386E+0001
1 19/01/2014,00:00:00  2.35066464121613E+0001
1 20/01/2014,00:00:00  2.44496976138332E+0001
1 21/01/2014,00:00:00  2.54776234236555E+0001
1 22/01/2014,00:00:00  2.65809933296117E+0001
1 23/01/2014,00:00:00  2.79244292704843E+0001
1 24/01/2014,00:00:00  2.87858519795431E+0001
1 25/01/2014,00:00:00  2.97328191858527E+0001
1 26/01/2014,00:00:00  3.07570898375754E+0001
1 27/01/2014,00:00:00  3.19263044494476E+0001
1 28/01/2014,00:00:00  3.30520358732749E+0001
1 29/01/2014,00:00:00  3.45338767731591E+0001
1 30/01/2014,00:00:00  3.55273948775248E+0001
1 31/01/2014,00:00:00  3.65830250065787E+0001
1 01/02/2014,00:00:00  3.77922914454949E+0001
1 02/02/2014,00:00:00  3.92444023741934E+0001
1 03/02/2014,00:00:00  4.08914741665887E+0001
1 04/02/2014,00:00:00  4.21546003349954E+0001
1 05/02/2014,00:00:00  4.35948282150119E+0001
1 06/02/2014,00:00:00  4.50502163885023E+0001
1 07/02/2014,00:00:00  4.65157114243086E+0001
1 08/02/2014,00:00:00  4.83034695843344E+0001
1 09/02/2014,00:00:00  4.96562367067370E+0001
1 10/02/2014,00:00:00  5.12501367330443E+0001
1 11/02/2014,00:00:00  5.26692219177567E+0001
1 12/02/2014,00:00:00  5.40975649947580E+0001
1 13/02/2014,00:00:00  5.52131915434557E+0001
1 14/02/2014,00:00:00  5.65183766116081E+0001
1 15/02/2014,00:00:00  5.78340031603057E+0001
1 16/02/2014,00:00:00  5.91705126700938E+0001
1 17/02/2014,00:00:00  6.01781155427074E+0001
1 18/02/2014,00:00:00  6.01781155427074E+0001
1 19/02/2014,00:00:00  6.01781155427074E+0001
1 20/02/2014,00:00:00  6.01781155427074E+0001
1 21/02/2014,00:00:00  6.01781155427074E+0001
1 22/02/2014,00:00:00  6.01781155427074E+0001
1 23/02/2014,00:00:00  6.01781155427074E+0001
1 24/02/2014,00:00:00  6.01781155427074E+0001
1 25/02/2014,00:00:00  6.01781155427074E+0001
1 26/02/2014,00:00:00  6.01781155427074E+0001
1 27/02/2014,00:00:00  6.01781155427074E+0001
1 28/02/2014,00:00:00  6.01781155427074E+0001
1 01/03/2014,00:00:00  6.01781155427074E+0001
1 02/03/2014,00:00:00  6.01781155427074E+0001
1 03/03/2014,00:00:00  6.01781155427074E+0001
1 04/03/2014,00:00:00  6.01781155427074E+0001
1 05/03/2014,00:00:00  6.01781155427074E+0001
1 06/03/2014,00:00:00  6.01781155427074E+0001
1 07/03/2014,00:00:00  6.01781155427074E+0001
1 08/03/2014,00:00:00  6.01781155427074E+0001
1 09/03/2014,00:00:00  6.01781155427074E+0001
1 10/03/2014,00:00:00  6.01781155427074E+0001
1 11/03/2014,00:00:00  6.01781155427074E+0001
1 12/03/2014,00:00:00  6.01781155427074E+0001
1 13/03/2014,00:00:00  6.01781155427074E+0001
1 14/03/2014,00:00:00  6.01781155427074E+0001
1 15/03/2014,00:00:00  6.01781155427074E+0001
1 16/03/2014,00:00:00  6.01781155427074E+0001
1 17/03/2014,00:00:00  6.01781155427074E+0001
1 18/03/2014,00:00:00  6.01781155427074E+0001
1 19/03/2014,00:00:00  6.01781155427074E+0001
1 20/03/2014,00:00:00  6.01781155427074E+0001
1 21/03/2014,00:00:00  6.01781155427074E+0001
1 22/03/2014,00:00:00  6.01781155427074E+0001
1 23/03/2014,00:00:00  6.01781155427074E+0001
1 24/03/2014,00:00:00  6.01781155427074E+0001
