1 --> s0WSd25400
Date of simulation:  05/05/2017,10:30:44
Description:  
1 06/12/2013,00:00:00  0.00000000000000E+0000
1 07/12/2013,00:00:00  0.00000000000000E+0000
1 08/12/2013,00:00:00  0.00000000000000E+0000
1 09/12/2013,00:00:00  0.00000000000000E+0000
1 10/12/2013,00:00:00  0.00000000000000E+0000
1 11/12/2013,00:00:00  0.00000000000000E+0000
1 12/12/2013,00:00:00  0.00000000000000E+0000
1 13/12/2013,00:00:00  0.00000000000000E+0000
1 14/12/2013,00:00:00  0.00000000000000E+0000
1 15/12/2013,00:00:00  0.00000000000000E+0000
1 16/12/2013,00:00:00  0.00000000000000E+0000
1 17/12/2013,00:00:00  0.00000000000000E+0000
1 18/12/2013,00:00:00  0.00000000000000E+0000
1 19/12/2013,00:00:00  0.00000000000000E+0000
1 20/12/2013,00:00:00  0.00000000000000E+0000
1 21/12/2013,00:00:00  0.00000000000000E+0000
1 22/12/2013,00:00:00  0.00000000000000E+0000
1 23/12/2013,00:00:00  0.00000000000000E+0000
1 24/12/2013,00:00:00  0.00000000000000E+0000
1 25/12/2013,00:00:00  0.00000000000000E+0000
1 26/12/2013,00:00:00  0.00000000000000E+0000
1 27/12/2013,00:00:00  0.00000000000000E+0000
1 28/12/2013,00:00:00  0.00000000000000E+0000
1 29/12/2013,00:00:00  0.00000000000000E+0000
1 30/12/2013,00:00:00  0.00000000000000E+0000
1 31/12/2013,00:00:00  0.00000000000000E+0000
1 01/01/2014,00:00:00  0.00000000000000E+0000
1 02/01/2014,00:00:00  0.00000000000000E+0000
1 03/01/2014,00:00:00  0.00000000000000E+0000
1 04/01/2014,00:00:00  0.00000000000000E+0000
1 05/01/2014,00:00:00  0.00000000000000E+0000
1 06/01/2014,00:00:00  0.00000000000000E+0000
1 07/01/2014,00:00:00  0.00000000000000E+0000
1 08/01/2014,00:00:00  0.00000000000000E+0000
1 09/01/2014,00:00:00  0.00000000000000E+0000
1 10/01/2014,00:00:00  0.00000000000000E+0000
1 11/01/2014,00:00:00  0.00000000000000E+0000
1 12/01/2014,00:00:00  0.00000000000000E+0000
1 13/01/2014,00:00:00  0.00000000000000E+0000
1 14/01/2014,00:00:00  0.00000000000000E+0000
1 15/01/2014,00:00:00  0.00000000000000E+0000
1 16/01/2014,00:00:00  0.00000000000000E+0000
1 17/01/2014,00:00:00  2.14461853082069E-0002
1 18/01/2014,00:00:00  4.96394850954002E-0002
1 19/01/2014,00:00:00  7.73508481340945E-0002
1 20/01/2014,00:00:00  1.01447685559046E-0001
1 21/01/2014,00:00:00  1.27713238352243E-0001
1 22/01/2014,00:00:00  1.55906538139437E-0001
1 23/01/2014,00:00:00  4.43137286059870E-0001
1 24/01/2014,00:00:00  7.69102542238982E-0001
1 25/01/2014,00:00:00  1.06217222210644E+0000
1 26/01/2014,00:00:00  1.37916595747328E+0000
1 27/01/2014,00:00:00  1.74101729690147E+0000
1 28/01/2014,00:00:00  2.08941135511126E+0000
1 29/01/2014,00:00:00  2.56385811462541E+0000
1 30/01/2014,00:00:00  3.04601887531488E+0000
1 31/01/2014,00:00:00  3.48118939237783E+0000
1 01/02/2014,00:00:00  3.97969458563305E+0000
1 02/02/2014,00:00:00  4.57830942835345E+0000
1 03/02/2014,00:00:00  5.17024732341263E+0000
1 04/02/2014,00:00:00  5.83542035463077E+0000
1 05/02/2014,00:00:00  6.49138683870403E+0000
1 06/02/2014,00:00:00  7.15425823313596E+0000
1 07/02/2014,00:00:00  7.82173290114033E+0000
1 08/02/2014,00:00:00  8.52907870022870E+0000
1 09/02/2014,00:00:00  9.26064113662398E+0000
1 10/02/2014,00:00:00  1.00115827104072E+0001
1 11/02/2014,00:00:00  1.06801629502916E+0001
1 12/02/2014,00:00:00  1.13563434771592E+0001
