1 --> s0WSd25400
Date of simulation:  05/05/2017,10:30:44
Description:  
1 30/12/1899,00:00:00  0.00000000000000E+0000
1 06/12/2013,00:00:00  0.00000000000000E+0000
1 07/12/2013,00:00:00  0.00000000000000E+0000
1 08/12/2013,00:00:00  0.00000000000000E+0000
1 09/12/2013,00:00:00  0.00000000000000E+0000
1 10/12/2013,00:00:00  0.00000000000000E+0000
1 11/12/2013,00:00:00  0.00000000000000E+0000
1 12/12/2013,00:00:00  0.00000000000000E+0000
1 13/12/2013,00:00:00  0.00000000000000E+0000
1 14/12/2013,00:00:00  0.00000000000000E+0000
1 15/12/2013,00:00:00  0.00000000000000E+0000
1 16/12/2013,00:00:00  0.00000000000000E+0000
1 17/12/2013,00:00:00  0.00000000000000E+0000
1 18/12/2013,00:00:00  0.00000000000000E+0000
1 19/12/2013,00:00:00  0.00000000000000E+0000
1 20/12/2013,00:00:00  0.00000000000000E+0000
1 21/12/2013,00:00:00  0.00000000000000E+0000
1 22/12/2013,00:00:00  0.00000000000000E+0000
1 23/12/2013,00:00:00  0.00000000000000E+0000
1 24/12/2013,00:00:00  0.00000000000000E+0000
1 25/12/2013,00:00:00  0.00000000000000E+0000
1 26/12/2013,00:00:00  0.00000000000000E+0000
1 27/12/2013,00:00:00  0.00000000000000E+0000
1 28/12/2013,00:00:00  0.00000000000000E+0000
1 29/12/2013,00:00:00  0.00000000000000E+0000
1 30/12/2013,00:00:00  0.00000000000000E+0000
1 31/12/2013,00:00:00  0.00000000000000E+0000
1 01/01/2014,00:00:00  0.00000000000000E+0000
1 02/01/2014,00:00:00  0.00000000000000E+0000
1 03/01/2014,00:00:00  0.00000000000000E+0000
1 04/01/2014,00:00:00  0.00000000000000E+0000
1 05/01/2014,00:00:00  0.00000000000000E+0000
1 06/01/2014,00:00:00  0.00000000000000E+0000
1 07/01/2014,00:00:00  0.00000000000000E+0000
1 08/01/2014,00:00:00  0.00000000000000E+0000
1 09/01/2014,00:00:00  0.00000000000000E+0000
1 10/01/2014,00:00:00  0.00000000000000E+0000
1 11/01/2014,00:00:00  0.00000000000000E+0000
1 12/01/2014,00:00:00  0.00000000000000E+0000
1 13/01/2014,00:00:00  0.00000000000000E+0000
1 14/01/2014,00:00:00  0.00000000000000E+0000
1 15/01/2014,00:00:00  0.00000000000000E+0000
1 16/01/2014,00:00:00  0.00000000000000E+0000
1 17/01/2014,00:00:00  8.39315569487984E-0001
1 18/01/2014,00:00:00  1.94268547544410E+0000
1 19/01/2014,00:00:00  3.02719435736677E+0000
1 20/01/2014,00:00:00  3.97024555903866E+0000
1 21/01/2014,00:00:00  4.99817136886102E+0000
1 22/01/2014,00:00:00  6.10154127481714E+0000
1 23/01/2014,00:00:00  7.14211634531427E+0000
1 24/01/2014,00:00:00  8.19537578906686E+0000
1 25/01/2014,00:00:00  9.14234299537653E+0000
1 26/01/2014,00:00:00  1.01666136470992E+0001
1 27/01/2014,00:00:00  1.13358282589713E+0001
1 28/01/2014,00:00:00  1.24615596827987E+0001
1 29/01/2014,00:00:00  1.36473902866726E+0001
1 30/01/2014,00:00:00  1.48170086456243E+0001
1 31/01/2014,00:00:00  1.58726387746782E+0001
1 01/02/2014,00:00:00  1.70819052135944E+0001
1 02/02/2014,00:00:00  1.85340161422930E+0001
1 03/02/2014,00:00:00  1.98915131831236E+0001
1 04/02/2014,00:00:00  2.13519547877720E+0001
1 05/02/2014,00:00:00  2.27921826677885E+0001
1 06/02/2014,00:00:00  2.42475708412789E+0001
1 07/02/2014,00:00:00  2.57130658770852E+0001
1 08/02/2014,00:00:00  2.72177948459923E+0001
1 09/02/2014,00:00:00  2.87705619683949E+0001
1 10/02/2014,00:00:00  3.03644619947022E+0001
