1 --> s0WSd25400
Date of simulation:  05/05/2017,10:30:44
Description:  
1 30/12/1899,00:00:00  0.00000000000000E+0000
1 07/12/2013,00:00:00  0.00000000000000E+0000
1 08/12/2013,00:00:00  0.00000000000000E+0000
1 09/12/2013,00:00:00  0.00000000000000E+0000
1 10/12/2013,00:00:00  0.00000000000000E+0000
1 11/12/2013,00:00:00  0.00000000000000E+0000
1 12/12/2013,00:00:00  0.00000000000000E+0000
1 13/12/2013,00:00:00  0.00000000000000E+0000
1 14/12/2013,00:00:00  0.00000000000000E+0000
1 15/12/2013,00:00:00  0.00000000000000E+0000
1 16/12/2013,00:00:00  0.00000000000000E+0000
1 17/12/2013,00:00:00  0.00000000000000E+0000
1 18/12/2013,00:00:00  0.00000000000000E+0000
1 19/12/2013,00:00:00  0.00000000000000E+0000
1 20/12/2013,00:00:00  0.00000000000000E+0000
1 21/12/2013,00:00:00  0.00000000000000E+0000
1 22/12/2013,00:00:00  0.00000000000000E+0000
1 23/12/2013,00:00:00  0.00000000000000E+0000
1 24/12/2013,00:00:00  0.00000000000000E+0000
1 25/12/2013,00:00:00  0.00000000000000E+0000
1 26/12/2013,00:00:00  0.00000000000000E+0000
1 27/12/2013,00:00:00  0.00000000000000E+0000
1 28/12/2013,00:00:00  0.00000000000000E+0000
1 29/12/2013,00:00:00  0.00000000000000E+0000
1 30/12/2013,00:00:00  0.00000000000000E+0000
1 31/12/2013,00:00:00  0.00000000000000E+0000
1 01/01/2014,00:00:00  0.00000000000000E+0000
1 02/01/2014,00:00:00  0.00000000000000E+0000
1 03/01/2014,00:00:00  0.00000000000000E+0000
1 04/01/2014,00:00:00  0.00000000000000E+0000
1 05/01/2014,00:00:00  0.00000000000000E+0000
1 06/01/2014,00:00:00  0.00000000000000E+0000
1 07/01/2014,00:00:00  0.00000000000000E+0000
1 08/01/2014,00:00:00  0.00000000000000E+0000
1 09/01/2014,00:00:00  0.00000000000000E+0000
1 10/01/2014,00:00:00  0.00000000000000E+0000
1 11/01/2014,00:00:00  0.00000000000000E+0000
1 12/01/2014,00:00:00  0.00000000000000E+0000
1 13/01/2014,00:00:00  0.00000000000000E+0000
1 14/01/2014,00:00:00  0.00000000000000E+0000
1 15/01/2014,00:00:00  0.00000000000000E+0000
1 16/01/2014,00:00:00  0.00000000000000E+0000
1 17/01/2014,00:00:00  0.00000000000000E+0000
1 18/01/2014,00:00:00  0.00000000000000E+0000
1 19/01/2014,00:00:00  0.00000000000000E+0000
1 20/01/2014,00:00:00  0.00000000000000E+0000
1 21/01/2014,00:00:00  0.00000000000000E+0000
1 22/01/2014,00:00:00  0.00000000000000E+0000
1 23/01/2014,00:00:00  0.00000000000000E+0000
1 24/01/2014,00:00:00  0.00000000000000E+0000
1 25/01/2014,00:00:00  0.00000000000000E+0000
1 26/01/2014,00:00:00  0.00000000000000E+0000
1 27/01/2014,00:00:00  0.00000000000000E+0000
1 28/01/2014,00:00:00  0.00000000000000E+0000
1 29/01/2014,00:00:00  0.00000000000000E+0000
1 30/01/2014,00:00:00  0.00000000000000E+0000
1 31/01/2014,00:00:00  0.00000000000000E+0000
1 01/02/2014,00:00:00  0.00000000000000E+0000
1 02/02/2014,00:00:00  0.00000000000000E+0000
1 03/02/2014,00:00:00  0.00000000000000E+0000
1 04/02/2014,00:00:00  0.00000000000000E+0000
1 05/02/2014,00:00:00  0.00000000000000E+0000
1 06/02/2014,00:00:00  0.00000000000000E+0000
1 07/02/2014,00:00:00  0.00000000000000E+0000
1 08/02/2014,00:00:00  0.00000000000000E+0000
1 09/02/2014,00:00:00  0.00000000000000E+0000
1 10/02/2014,00:00:00  0.00000000000000E+0000
1 11/02/2014,00:00:00  0.00000000000000E+0000
1 12/02/2014,00:00:00  0.00000000000000E+0000
1 13/02/2014,00:00:00  0.00000000000000E+0000
1 14/02/2014,00:00:00  0.00000000000000E+0000
1 15/02/2014,00:00:00  0.00000000000000E+0000
1 16/02/2014,00:00:00  0.00000000000000E+0000
1 17/02/2014,00:00:00  0.00000000000000E+0000
