1 --> s0WSd25400
Date of simulation:  05/05/2017,10:30:44
Description:  
1 30/12/1899,00:00:00  0.00000000000000E+0000
1 06/12/2013,00:00:00  0.00000000000000E+0000
1 07/12/2013,00:00:00  0.00000000000000E+0000
1 08/12/2013,00:00:00  0.00000000000000E+0000
1 09/12/2013,00:00:00  0.00000000000000E+0000
1 10/12/2013,00:00:00  0.00000000000000E+0000
1 11/12/2013,00:00:00  0.00000000000000E+0000
1 12/12/2013,00:00:00  0.00000000000000E+0000
1 13/12/2013,00:00:00  0.00000000000000E+0000
1 14/12/2013,00:00:00  0.00000000000000E+0000
1 15/12/2013,00:00:00  0.00000000000000E+0000
1 16/12/2013,00:00:00  0.00000000000000E+0000
1 17/12/2013,00:00:00  0.00000000000000E+0000
1 18/12/2013,00:00:00  0.00000000000000E+0000
1 19/12/2013,00:00:00  0.00000000000000E+0000
1 20/12/2013,00:00:00  0.00000000000000E+0000
1 21/12/2013,00:00:00  0.00000000000000E+0000
1 22/12/2013,00:00:00  0.00000000000000E+0000
1 23/12/2013,00:00:00  0.00000000000000E+0000
1 24/12/2013,00:00:00  0.00000000000000E+0000
1 25/12/2013,00:00:00  0.00000000000000E+0000
1 26/12/2013,00:00:00  0.00000000000000E+0000
1 27/12/2013,00:00:00  0.00000000000000E+0000
1 28/12/2013,00:00:00  0.00000000000000E+0000
1 29/12/2013,00:00:00  0.00000000000000E+0000
1 30/12/2013,00:00:00  0.00000000000000E+0000
1 31/12/2013,00:00:00  0.00000000000000E+0000
1 01/01/2014,00:00:00  0.00000000000000E+0000
1 02/01/2014,00:00:00  0.00000000000000E+0000
1 03/01/2014,00:00:00  0.00000000000000E+0000
1 04/01/2014,00:00:00  0.00000000000000E+0000
1 05/01/2014,00:00:00  0.00000000000000E+0000
1 06/01/2014,00:00:00  0.00000000000000E+0000
1 07/01/2014,00:00:00  0.00000000000000E+0000
1 08/01/2014,00:00:00  0.00000000000000E+0000
1 09/01/2014,00:00:00  0.00000000000000E+0000
1 10/01/2014,00:00:00  0.00000000000000E+0000
1 11/01/2014,00:00:00  0.00000000000000E+0000
1 12/01/2014,00:00:00  0.00000000000000E+0000
1 13/01/2014,00:00:00  0.00000000000000E+0000
1 14/01/2014,00:00:00  0.00000000000000E+0000
1 15/01/2014,00:00:00  0.00000000000000E+0000
1 16/01/2014,00:00:00  0.00000000000000E+0000
1 17/01/2014,00:00:00  9.19122227494582E-0003
1 18/01/2014,00:00:00  2.12740650408858E-0002
1 19/01/2014,00:00:00  3.31503634860405E-0002
1 20/01/2014,00:00:00  4.34775795253055E-0002
1 21/01/2014,00:00:00  5.47342450081043E-0002
1 22/01/2014,00:00:00  6.68170877740443E-0002
1 23/01/2014,00:00:00  7.81293370399466E-0002
1 24/01/2014,00:00:00  8.95682688158094E-0002
1 25/01/2014,00:00:00  9.98528129812640E-0002
1 26/01/2014,00:00:00  1.10976911772470E-0001
1 27/01/2014,00:00:00  1.23675175486959E-0001
1 28/01/2014,00:00:00  1.35901189724465E-0001
1 29/01/2014,00:00:00  1.48679092140261E-0001
1 30/01/2014,00:00:00  1.61268975926815E-0001
1 31/01/2014,00:00:00  1.72631879513831E-0001
1 01/02/2014,00:00:00  1.85648539021963E-0001
1 02/02/2014,00:00:00  2.01279199824760E-0001
1 03/02/2014,00:00:00  2.15835248325154E-0001
1 04/02/2014,00:00:00  2.31445879708579E-0001
1 05/02/2014,00:00:00  2.46840446989812E-0001
1 06/02/2014,00:00:00  2.62397062347689E-0001
1 07/02/2014,00:00:00  2.78061709756662E-0001
1 08/02/2014,00:00:00  2.94050609245778E-0001
1 09/02/2014,00:00:00  3.10542883426739E-0001
1 10/02/2014,00:00:00  3.27472039042957E-0001
