1 --> s0WSd25400
Date of simulation:  05/05/2017,10:30:44
Description:  
1 06/12/2013,00:00:00  0.00000000000000E+0000
1 07/12/2013,00:00:00  0.00000000000000E+0000
1 08/12/2013,00:00:00  0.00000000000000E+0000
1 09/12/2013,00:00:00  0.00000000000000E+0000
1 10/12/2013,00:00:00  0.00000000000000E+0000
1 11/12/2013,00:00:00  0.00000000000000E+0000
1 12/12/2013,00:00:00  0.00000000000000E+0000
1 13/12/2013,00:00:00  0.00000000000000E+0000
1 14/12/2013,00:00:00  0.00000000000000E+0000
1 15/12/2013,00:00:00  0.00000000000000E+0000
1 16/12/2013,00:00:00  0.00000000000000E+0000
1 17/12/2013,00:00:00  0.00000000000000E+0000
1 18/12/2013,00:00:00  0.00000000000000E+0000
1 19/12/2013,00:00:00  0.00000000000000E+0000
1 20/12/2013,00:00:00  0.00000000000000E+0000
1 21/12/2013,00:00:00  0.00000000000000E+0000
1 22/12/2013,00:00:00  0.00000000000000E+0000
1 23/12/2013,00:00:00  0.00000000000000E+0000
1 24/12/2013,00:00:00  0.00000000000000E+0000
1 25/12/2013,00:00:00  0.00000000000000E+0000
1 26/12/2013,00:00:00  0.00000000000000E+0000
1 27/12/2013,00:00:00  0.00000000000000E+0000
1 28/12/2013,00:00:00  0.00000000000000E+0000
1 29/12/2013,00:00:00  0.00000000000000E+0000
1 30/12/2013,00:00:00  0.00000000000000E+0000
1 31/12/2013,00:00:00  0.00000000000000E+0000
1 01/01/2014,00:00:00  0.00000000000000E+0000
1 02/01/2014,00:00:00  0.00000000000000E+0000
1 03/01/2014,00:00:00  0.00000000000000E+0000
1 04/01/2014,00:00:00  0.00000000000000E+0000
1 05/01/2014,00:00:00  0.00000000000000E+0000
1 06/01/2014,00:00:00  0.00000000000000E+0000
1 07/01/2014,00:00:00  0.00000000000000E+0000
1 08/01/2014,00:00:00  0.00000000000000E+0000
1 09/01/2014,00:00:00  0.00000000000000E+0000
1 10/01/2014,00:00:00  0.00000000000000E+0000
1 11/01/2014,00:00:00  0.00000000000000E+0000
1 12/01/2014,00:00:00  0.00000000000000E+0000
1 13/01/2014,00:00:00  0.00000000000000E+0000
1 14/01/2014,00:00:00  0.00000000000000E+0000
1 15/01/2014,00:00:00  0.00000000000000E+0000
1 16/01/2014,00:00:00  0.00000000000000E+0000
1 17/01/2014,00:00:00  9.19122227494582E-0003
1 18/01/2014,00:00:00  2.12740650408858E-0002
1 19/01/2014,00:00:00  3.31503634860405E-0002
1 20/01/2014,00:00:00  4.34775795253055E-0002
1 21/01/2014,00:00:00  5.47342450081043E-0002
1 22/01/2014,00:00:00  6.68170877740443E-0002
1 23/01/2014,00:00:00  1.89915979739944E-0001
1 24/01/2014,00:00:00  3.29615375245278E-0001
1 25/01/2014,00:00:00  4.55216666617046E-0001
1 26/01/2014,00:00:00  5.91071124631408E-0001
1 27/01/2014,00:00:00  7.46150270100632E-0001
1 28/01/2014,00:00:00  8.95462009333396E-0001
1 29/01/2014,00:00:00  1.09879633483946E+0000
1 30/01/2014,00:00:00  1.30543666084923E+0000
1 31/01/2014,00:00:00  1.49193831101907E+0000
1 01/02/2014,00:00:00  1.70558339384273E+0000
1 02/02/2014,00:00:00  1.96213261215148E+0000
1 03/02/2014,00:00:00  2.21582028146256E+0000
1 04/02/2014,00:00:00  2.50089443769890E+0000
1 05/02/2014,00:00:00  2.78202293087316E+0000
1 06/02/2014,00:00:00  3.06611067134398E+0000
1 07/02/2014,00:00:00  3.35217124334585E+0000
1 08/02/2014,00:00:00  3.65531944295516E+0000
1 09/02/2014,00:00:00  3.96884620141027E+0000
1 10/02/2014,00:00:00  4.29067830446022E+0000
1 11/02/2014,00:00:00  4.57721269298212E+0000
1 12/02/2014,00:00:00  4.86700434735394E+0000
